Smiles,IC50_uM,pIC50
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)CS(N)(=O)=O)[nH]c3ccc(Cl)cc23)c1,0.004,8.397940009
CCc1c(C)[nH]c(=O)c(N(C)CC#N)c1Cc1cccc(C)c1,0.004,8.397940009
CCc1c(C)[nH]c(=O)c(N(C)CCCCCO)c1Cc1cc(C)cc(C)c1,0.004,8.397940009
N#Cc1cc(Cl)cc(Oc2cc(CCc3nc4ccccc4o3)[nH]c(=O)c2Cl)c1,0.004,8.397940009
NS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,0.004,8.397940009
O=C(CSC(=O)N1CCCc2cc(Cl)cc(Cl)c21)Nc1ccc(C(=O)NCc2ccccc2)cc1Cl,0.004,8.397940009
O=C(CSC(=O)N1CCCc2cc(Cl)cc(Cl)c21)Nc1ccccc1Cl,0.004,8.397940009
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2cc[nH]c12,0.00424,8.372634143
C#C[C@]1(CO)O[C@@H](n2cc(C)c(N)nc2=O)C[C@@H]1O,0.0045,8.346787486
C#C[C@]1(CO)OC(N2C=CC(N)NC2=O)[C@@H](O)[C@@H]1O,0.0048,8.318758763
Cc1cc(Cc2ccc(Cl)c(Oc3cc(C#N)cc(C#N)c3)c2F)n[nH]c1=O,0.005,8.301029996
CCc1c(C)[nH]c(=O)c(N(C)CCCC#N)c1Cc1cccc(C)c1,0.005,8.301029996
CCc1c(C)[nH]c(=O)c(N(C)CCO)c1Cc1cccc(C)c1,0.005,8.301029996
COc1ccc(CN(C)c2nc(Cc3c(Cl)cccc3Cl)c(C)c(=O)[nH]2)cc1,0.005,8.301029996
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1ccnc(Cl)c1)c1ccc(Cl)cc1,0.005,8.301029996
Cc1cc(S(N)(=O)=O)ncc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(Cl)cc(C#N)c1,0.005012,8.299988938
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCC(NCc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1S(=O)(=O)C=C2,0.00514,8.289036881
N#Cc1cc(Cl)cc(Oc2cc(OCc3nc4cccc(Cl)c4s3)ccc2Cl)c1,0.00515,8.288192771
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)ncnc32)C[C@@H]1O,0.0054,8.26760624
